,ticker,dividendo,yeld,soma_yield_12m,rentabilidade,setor,valor,liquidezmediadiaria,pvp,p_vpa,ativos,numero_cotista
120,CYCR11,0.106,1.14,15.47,10.9528,Indefinido,9.0,512987.78,0.9544,0.9544008483563097,14,17338
121,DAMA11,0.08,1.14,14.47,2.0172,Misto,6.79,6841.74,0.8122,,14,898
122,DAMT11B,0.5825,0.0,3.5,0.0,Shoppings,11.45,23.0,0.8167,,2,551
123,DAYM11,0.037,0.9,6.14,-0.8717,Lajes Corporativas,4.12,1807.57,0.4149,,6,881
124,DCRA11,0.09,1.17,16.05,17.882,Indefinido,7.45,72691.0,0.7525,0.7525252525252525,0,14922
125,DEVA11,0.3,1.22,17.34,5.555,Papéis,24.17,389806.78,0.2464,0.246431484502447,14,80230
126,DIVS11,1.2,1.13,12.09,14.2533,FI-Infra,106.0,677751.26,0.0,,0,0
127,DLMT11,0.0016,0.0,0.0,0.0,Varejo,0.0,,0.0,,2,9
128,DPRO11,0.06,0.94,11.81,1.4213,Indefinido,6.0,998.92,0.6543,,1,767
129,DRIT11B,0.53,0.63,13.98,16.7581,Lajes Corporativas,83.3,1547.0,0.6167,0.6380208333333333,4,348
130,DVFF11,0.065,1.1,13.72,6.7043,Fundo de Fundos,5.67,149631.83,0.6357,0.6356502242152466,14,2046
131,EDFO11B,0.4923,0.42,11.89,-17.9314,Lajes Corporativas,229.98,7938.5,0.5606,1.092697296526821,1,490
132,EDGA11,0.06,0.42,3.61,0.9558,Lajes Corporativas,14.37,22363.65,0.3189,0.31890812250332884,1,3675
133,EDGE11,79.24,7.76,7.76,0.0,Papéis,1071.8,1071.0,0.8694,,14,123
134,EGAF11,1.23,1.22,19.28,16.5558,Indefinido,99.19,452136.04,1.0026,1.002628120893561,0,12026
135,EIRA11,1.07,0.0,2.42,0.0,Outros,104.55,321470.7,0.9875,,0,122
136,EMET11,0.05,0.52,13.57,0.5201,Misto,10.5,420992.57,1.0903,,14,183
137,ENDD11,5.4189,4.99,10.14,32.6917,Indefinido,112.2,298138.39,0.0,,0,0
138,EQIA11,0.4503,,0.0,0.0,Fiagro,0.0,,0.0,,0,0
139,EQIR11,0.1,1.16,16.15,10.5077,Indefinido,8.61,70736.0,0.8913,0.8940809968847351,14,9791
140,ERCR11,215.2788,0.0,0.0,0.0,Varejo,15707.85,,1.4056,1.4056103250885226,14,9
141,ERPA11,0.93,0.74,4.44,0.0261,Lajes Corporativas,126.09,54928.0,0.7618,0.7617810536491059,2,844
142,ESUD11,72.9256,23.08,0.0,0.0,Indefinido,243.0,48600.0,0.0,,0,0
143,ESUT11,67.4877,210.9,0.0,0.0,Indefinido,1.0,20.0,0.0,,0,0
144,ESUU11,63.838,199.49,0.0,0.0,Indefinido,1.0,20.0,0.0,,0,0
145,EURO11,2.08,0.63,9.62,10.6798,Imóveis Industriais e Logísticos,320.01,238490.0,0.8044,0.8044090292091901,7,1976
146,EXES11,0.13,1.37,17.42,1.37,Papéis,9.42,134543.61,0.9439,,14,1924
147,FAED11,1.75,1.11,14.59,13.2491,Educacional,162.38,77192.48,0.7142,0.7141663368078462,4,3995
148,FAMB11B,1001.6086,0.0,0.0,0.0,Lajes Corporativas,609.99,47041.93,0.1761,0.169759300464444,1,2173
149,FAOE11,11.1609,0.0,0.0,0.0,Indefinido,926.9,,14.5259,,3,8102
150,FATN11,0.8,0.9,12.23,5.2167,Lajes Corporativas,86.86,1649994.7,0.8995,0.8995443247721624,56,26876
151,FCFL11,0.9021,0.72,9.07,4.0316,Educacional,123.38,242539.48,0.9864,0.9864086984330028,1,2907
152,FGAA11,0.12,1.28,15.8,13.6771,Indefinido,9.38,711846.61,0.9947,0.9946977730646873,0,52796
153,FIGS11,0.48,0.97,12.38,5.5699,Shoppings,50.35,130417.26,0.7189,0.7188749286122216,2,11555
154,FIIB11,3.1,0.65,9.06,0.1504,Imóveis Industriais e Logísticos,463.97,302009.48,0.7862,0.7862432427852435,9,14808
155,FIIP11,1.4,1.04,11.38,-17.4671,Imóveis Industriais e Logísticos,140.0,684268.0,0.7012,,7,5982
156,FIIP11B,1.4,0.96,10.89,6.8105,Imóveis Industriais e Logísticos,161.37,1172.8,0.7307,0.8115570307785154,7,6586
157,FISC11,0.56,0.83,5.24,0.0,Lajes Corporativas,65.0,2183.15,0.585,0.5850058500585006,5,228
158,FLCR11,1.1,1.14,14.46,3.0659,Papéis,94.44,220716.61,0.9933,0.9932688262515776,1,2786
159,FLFL11,0.18,0.0,0.0,0.0,Fundo de Desenvolvimento,0.0,,0.0,,1,1
160,FLMA11,0.92,0.56,9.57,11.1945,Lajes Corporativas,152.0,52190.52,0.6071,0.6070529973241743,1,11230
161,FLRP11,0.15,0.7,9.42,9.6523,Shoppings,21.04,42567.26,0.9953,0.9952696310312203,1,1901
162,FMOF11,1.4,3.83,116.98,-2.4643,Lajes Corporativas,35.03,1497.04,0.7535,0.7557713052858684,2,421
163,FPAB11,1.8,0.82,7.86,8.5393,Lajes Corporativas,209.99,143013.82,0.586,0.5860240560377307,3,672
164,FPOR11,0.1532,0.0,0.18,0.0,FIP-IE,23.5,41.0,0.0,,0,0
165,FRHY11,1.03,0.0,0.0,0.0,Indefinido,0.0,,0.0,,14,7
166,FTCA11,0.12,0.0,0.0,0.0,Indefinido,9.43,86449.78,0.8938,0.8938388625592416,0,7724
167,FVPQ11,0.4,0.56,9.87,-9.1154,Shoppings,66.0,31277.87,0.7154,0.7153696076306091,1,3578
168,FYTO11,0.08,0.93,15.88,14.2477,Papéis,8.53,136046.26,0.8599,,0,10507
169,FZDA11,4.1068,3.4,3.4,2.6861,Indefinido,127.01,601.9,0.6984,0.7318352059925094,0,285
170,FZDB11,4.2132,3.32,3.32,25.4572,Indefinido,144.0,471.0,0.8092,0.8524240809802877,0,122
171,GAME11,0.1,1.09,13.82,5.9525,Indefinido,8.91,182838.13,0.9243,0.9242738589211618,14,21279
172,GARE11,0.083,0.97,11.63,-1.2033,Imóveis Industriais e Logísticos,8.52,11895023.57,0.8987,,4,469914
173,GCOI11,3.0116,0.0,0.0,0.0,Indefinido,72.87,27690.0,0.9857,,2,385
174,GCRA11,0.68,1.2,16.5,19.9528,Indefinido,55.48,219802.43,0.6341,0.6341296148131215,0,6834
175,GCRI11,0.8,1.21,16.87,6.335,Papéis,67.49,191063.7,0.7395,0.7447583314941513,14,4196
176,GESE11B,1112.7198,0.0,0.0,0.0,Educacional,1520.0,,23.8207,1.3582585695392644,14,8102
177,GFDL11,0.16,0.15,0.15,0.0,Logística,112.96,80622.1,1.1473,,0,1762
178,GGRC11,0.1,1.0,12.6,2.8387,Imóveis Industriais e Logísticos,10.17,6504067.83,0.904,0.904,42,313493
179,GLCR11,0.88,0.0,4.26,0.0,Papéis,100.0,17188.17,0.9816,,0,837
180,GLOG11,0.6,0.81,8.21,18.233,Imóveis Industriais e Logísticos,73.79,39971.13,0.6789,,1,1714
181,GLPF11,0.914,0.0,7.93,0.0,Logística,107.0,56015.38,1.0566,,0,2434
182,GRUL11,0.08,0.95,13.4,9.5008,Logística,8.39,291313.22,0.874,,1,5024
183,GRWA11,0.1,1.28,12.52,12.5666,Indefinido,7.94,8583.04,0.7701,0.7701260911736179,0,2091
184,GSFI11,0.0007,0.0276,0.0276,0.0276,Shoppings,11.0,96184.22,0.8709,0.9243076095724657,9,6344
185,GTLG11,60.6178,0.0,0.0,0.0,Imóveis Industriais e Logísticos,63.99,22885.25,1.0028,1.0555922137908282,1,8102
186,GTWR11,0.9,1.05,14.23,18.977,Lajes Corporativas,83.8,511209.48,0.8264,0.826429980276134,3,33837
187,GURB11,0.7,0.65,0.0,0.0,Indefinido,108.0,5000076.0,0.8477,,2,1
188,GZIT11,0.78,1.61,21.76,5.564,Indefinido,44.75,585260.61,0.4939,,6,7939
189,HABT11,0.95,1.2,16.46,14.1895,Papéis,75.94,1014686.91,0.7961,0.7961002201488625,14,58078
190,HBCR11,1.45,0.0,8.27,0.0,Indefinido,147.0,7550819.0,1.2463,,3,61
191,HBRH11,0.5,0.55,9.22,2.4597,Lajes Corporativas,90.8,14627.0,0.8009,0.8090528379221241,5,720
192,HCHG11,0.62,0.76,11.46,8.9271,Papéis,81.57,19169.18,0.9206,0.9195130199526547,14,549
193,HCRA11,14.85,145.3,147.1,11.1664,Indefinido,10.22,0.83,0.1773,,0,100
194,HCRI11,3.3184,1.06,21.29,10.6938,Hospitalar,294.91,24345.7,1.049,1.0677021107128635,1,3001
195,HCTR11,0.26,1.21,17.83,12.4518,Papéis,20.87,606833.74,0.1974,0.1973709097787025,14,130689
196,HDEL11,15.3,0.0,0.0,0.0,Imóveis Industriais e Logísticos,94.1,4232.41,1.0908,,1,123
197,HFOF11,0.06,0.86,11.59,12.1182,Fundo de Fundos,6.8,1568253.3,0.8479,0.8478802992518704,14,96485
198,HGAG11,0.14,1.08,16.06,-12.3221,Indefinido,13.87,248.89,0.5943,0.5942587832047986,0,1000
199,HGBL11,0.072,0.78,10.31,6.1389,Misto,9.25,228794.83,0.9757,,1,4699
200,HGBS11,0.17,0.83,9.81,8.0258,Shoppings,20.51,4653790.04,0.9884,0.9884337349397591,17,161939
